ts,run_id,rpm,rpm_setpoint,torque_ftlbs,hp,pressure_psi,valve_cmd_pct,cht_c,control_mode,sim_status,limiter_active
2026-05-23T14:08:19.873+00:00,46,3113,4000,10.7,6.342,0,0.0,33,2,1,0
2026-05-23T14:08:19.972+00:00,46,3396,4000,10.1,6.531,0,0.0,33,2,1,0
2026-05-23T14:08:20.072+00:00,46,3735,4000,9.8,6.969,0,0.0,33,2,1,0
2026-05-23T14:08:20.172+00:00,46,3835,4000,9.8,7.156,0,0.0,33,2,1,0
2026-05-23T14:08:20.272+00:00,46,4102,4000,9.6,7.498,0,0.0,33,2,1,0
2026-05-23T14:08:20.372+00:00,46,4333,4000,9.3,7.673,0,0.0,33,2,1,0
2026-05-23T14:08:20.559+00:00,46,4753,4000,9.3,8.416,8,7.77,33,2,1,0
2026-05-23T14:08:20.659+00:00,46,5042,4000,9.4,9.024,18,7.77,33,2,1,0
2026-05-23T14:08:20.758+00:00,46,5317,4000,9.4,9.516,61,21.61,33,2,1,0
2026-05-23T14:08:20.859+00:00,46,5506,4000,9.4,9.855,150,21.61,33,2,1,0
2026-05-23T14:08:20.959+00:00,46,5636,4000,9.0,9.658,218,21.61,33,2,1,0
2026-05-23T14:08:21.059+00:00,46,5676,4000,8.5,9.186,499,38.24,33,2,1,0
2026-05-23T14:08:21.158+00:00,46,5855,4000,8.3,9.253,716,38.24,33,2,1,0
2026-05-23T14:08:21.258+00:00,46,5873,4000,8.3,9.281,966,52.86,33,2,1,0
2026-05-23T14:08:21.359+00:00,46,5664,4000,8.6,9.275,1332,52.86,34,2,1,0
2026-05-23T14:08:21.544+00:00,46,5498,4000,9.4,9.84,1616,59.63,35,2,1,0
2026-05-23T14:08:21.645+00:00,46,5362,4000,9.4,9.597,1689,59.63,36,2,1,0
2026-05-23T14:08:21.744+00:00,46,5056,4000,9.4,9.049,1665,60.72,37,2,1,0
2026-05-23T14:08:21.844+00:00,46,4951,4000,9.4,8.861,1623,60.72,38,2,1,0
